id;puntos_historicos;puntos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;stdv_share_difference;difference_last_raffle_first_share
199;0;0;2013-07-12 03:09:46;NA;NA;NA;0;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
200;0;0;2013-07-12 03:11:37;NA;NA;NA;0;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
201;0;0;2013-07-12 03:12:09;NA;NA;NA;0;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
202;0;0;2013-07-12 03:15:18;NA;NA;NA;0;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
203;528;528;2013-07-12 03:16:57;NA;NA;NA;0;4;0;6;MISC;0;0;0;NA;97;38.8;-1
204;1618;1618;2013-07-12 03:21:05;NA;M;1991-09-02;0;4;0;6;CINE;0;0;0;NA;159;34.6549;-1
205;0;0;2013-07-12 03:32:23;NA;NA;NA;0;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
206;0;0;2013-07-12 03:37:59;NA;NA;NA;0;4;0;0;NA;0;0;0;NA;-1;-1;-1
207;128;128;2013-07-12 04:00:41;NA;NA;NA;1;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
208;1024;1024;2013-07-12 04:27:11;NA;NA;NA;1;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
209;0;0;2013-07-12 04:27:57;NA;NA;NA;1;4;0;0;NA;0;0;0;NA;-1;-1;-1
210;0;0;2013-07-12 04:53:01;NA;NA;NA;1;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
211;0;0;2013-07-12 04:53:41;NA;NA;NA;1;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
212;256;256;2013-07-12 05:07:10;NA;NA;NA;2;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
213;784;784;2013-07-12 05:08:26;NA;NA;NA;2;4;0;7;VIDEOJUEGOS;0;0;0;NA;1;0.3727;-1
214;0;0;2013-07-12 05:40:56;NA;NA;NA;2;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
215;0;0;2013-07-12 05:43:06;NA;NA;NA;2;4;0;0;NA;0;0;0;NA;-1;-1;-1
216;0;0;2013-07-12 06:12:56;NA;NA;NA;3;4;0;0;NA;0;0;0;NA;-1;-1;-1
217;0;0;2013-07-12 06:42:02;NA;NA;NA;3;4;0;4;VIDEOJUEGOS;0;0;0;NA;0;0;-1
218;0;0;2013-07-12 13:16:14;NA;NA;NA;10;4;0;4;DEPORTES;0;0;0;NA;0;0;-1
219;384;384;2013-07-12 13:48:15;NA;NA;NA;10;4;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
220;0;0;2013-07-12 15:35:00;NA;NA;NA;12;4;0;0;NA;0;0;0;NA;-1;-1;-1
221;7656;1456;2013-07-12 16:27:42;NA;M;1986-03-11;13;4;6200;4;VIDEOJUEGOS;0;2;0;9;102;43.2281;7
222;233;233;2013-07-12 18:11:34;Pontificia Universidad Cat;F;1992-05-13;15;4;0;3;CINE;0;0;0;NA;132;56;-1
223;0;0;2013-07-13 01:05:10;Pontificia Universidad Cat;M;1989-04-08;22;4;0;0;NA;0;0;0;NA;-1;-1;-1
224;0;0;2013-07-13 03:26:24;NA;NA;NA;0;5;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
225;0;0;2013-07-13 03:59:38;NA;NA;NA;0;5;0;1;CINE;0;0;0;NA;0;-1;-1
226;0;0;2013-07-13 04:02:14;NA;NA;NA;1;5;0;0;NA;0;0;0;NA;-1;-1;-1
227;0;0;2013-07-18 15:23:42;NA;NA;NA;12;3;0;0;NA;0;0;0;NA;-1;-1;-1
228;864;864;2013-07-23 16:03:04;NA;NA;NA;13;1;0;7;MISC;0;0;0;NA;0;0;-1
229;0;0;2013-07-23 17:17:42;NA;NA;NA;14;1;0;0;NA;0;0;0;NA;-1;-1;-1
230;0;0;2013-07-23 17:18:22;NA;NA;NA;14;1;0;3;VIDEOJUEGOS;0;0;0;NA;0;0;-1
231;0;0;2013-08-01 07:31:20;NA;NA;NA;4;3;0;0;NA;0;0;0;NA;-1;-1;-1
233;0;0;2013-08-31 01:48:18;NA;NA;NA;22;4;0;2;M;0;0;0;NA;0;0;-1
234;0;0;2013-09-05 00:06:04;NA;NA;NA;21;2;0;2;M;0;0;0;NA;0;0;-1
235;0;0;2013-09-29 15:00:53;NA;NA;NA;12;6;0;0;NA;0;0;0;NA;-1;-1;-1
237;1833;1833;2013-10-05 22:33:32;NA;M;NA;19;5;0;19;IDEAS;0;0;0;NA;376;19.905;-1
242;8814;2314;2013-10-06 05:32:55;NA;F;1992-09-25;2;6;6500;6;VIDEOJUEGOS;0;4;0;18;65;11.9666;65
249;7503;6103;2013-10-08 00:09:30;Universidad T;M;1987-08-20;21;0;1400;53;IDEAS;0;2;0;3;290;9.9486;280
255;7917;7217;2013-10-09 23:10:09;Universidad del Desarrollo;F;1993-03-29;20;2;700;9;CINE;0;2;0;2;60;14.3265;54
256;240;240;2013-10-10 12:21:03;NA;M;NA;9;3;0;1;NA;0;0;0;NA;0;-1;-1
257;600;600;2013-10-10 16:43:22;Universidad Adolfo Ib;NA;NA;13;3;0;0;NA;0;0;0;NA;-1;-1;-1
258;600;600;2013-10-10 16:53:17;Universidad del Desarrollo;F;1992-12-17;13;3;0;0;NA;0;0;0;NA;-1;-1;-1
259;600;600;2013-10-10 17:19:11;Pontificia Universidad Cat;NA;NA;14;3;0;0;NA;0;0;0;NA;-1;-1;-1
260;600;600;2013-10-10 17:21:04;Universidad Adolfo Ib;NA;NA;14;3;0;0;NA;0;0;0;NA;-1;-1;-1
261;888;888;2013-10-10 17:22:02;Universidad del Desarrollo;F;NA;14;3;0;2;CINE;0;0;0;NA;0;0;-1
262;0;0;2013-10-10 17:34:05;NA;NA;NA;14;3;0;0;NA;0;0;0;NA;-1;-1;-1
263;984;984;2013-10-10 18:07:10;Universidad Adolfo Ib;NA;NA;15;3;0;4;CINE;0;0;0;NA;0;0;-1
264;4139;2639;2013-10-10 18:47:17;Universidad del Desarrollo;F;1992-08-20;15;3;1500;20;CINE;0;4;0;6;313;49.3616;98
265;600;600;2013-10-10 18:50:59;Universidad del Desarrollo;NA;NA;15;3;0;0;NA;0;0;0;NA;-1;-1;-1
266;600;600;2013-10-10 19:07:47;Universidad del Desarrollo;NA;NA;16;3;0;0;NA;0;0;0;NA;-1;-1;-1
267;5886;386;2013-10-10 19:29:35;Universidad Adolfo Ib;F;1991-03-14;16;3;5500;35;M;0;1;0;11;31;3.1657;-21
268;824;424;2013-10-10 19:32:53;Pontificia Universidad Cat;NA;NA;16;3;400;12;DEPORTES;0;1;0;1;1;0.2875;-2
269;7688;1488;2013-10-10 19:33:58;Pontificia Universidad Cat;F;1987-07-20;16;3;6200;7;DEPORTES;0;4;0;7;231;50.6055;219
